ZKSJ DC56E 24-140 PWM Pump,,,,,Total Power [W],273.6,,,
Flow rate [l/min],13,<-- 24e flow rate at 24 V,,,,,,,
Mass flow rate [kg/s],0.221,,,,,,,,
Head [m],11.5,<-- Pump curve,,,,,,,
Supplied Voltage [V],24,,,,,,,,
Current [A],3.3,,,,,,,,
Power [W],79.2,,,,,,,,
Qty,2,,,,,,,,
Total Power [W],158.4,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Update from aero this year 2025e! ,,,,
VA22-Bp11_C-50A SPAL Fan,,,,,from aero @10 degrees,,,,
Static pressure [mmH2O],9.177,<-- Radiator manufacturer,,,kickplate area (m^2),air velocity (m/s),abs pressure (Pa),density (kg/m^3),
Fan Airflow [m^3/h],380,<-- Fan datasheet,,,0.05398379,1.4288,101566.155,1.147,10 m/s
Fan Airflow [kg/s],0.1208611111,<--- rho = 1.145 kg/m^3,,,0.05398379,5.32673695,101251.1024,1.147,13.7 m/s
Aero Airflow [kg/s],0.3298283939,<-- Get from Aero,,using 13.7 rn/s,,,,,
Total Airflow [kg/s],0.450689505,,,,,,,,
Supplied Voltage [V],24,,,,,,,,
Current [A],2.4,<-- Fan datasheet,,,,,,,
Power [W],57.6,,,,,,,,
Qty,2,,,,,,,,
Total Power [W],115.2,,,,,,,,
,,,,,,,,,
,,,,,,VA68-B101-83A,,,
